cod_ncm,hscode,cod_pais_origem,urf_cod,via_transp_cod,sgl_uf_import,city_cod,cidade_import,combinacao_202405
85411019,8541,160,0817700,04,SP,3449805,SAO JOSE DO RIO PRETO,0
85176900,8517,160,0817700,04,SP,3433403,NOVA ODESSA,0
85171830,8517,160,0817700,04,SP,3452205,SOROCABA,0
87089412,8708,160,0717600,01,RJ,3304557,RIO DE JANEIRO,0
85414122,8541,160,1017801,04,RS,4317509,SANTO ANGELO,0
29335929,2933,160,0817800,01,SP,3416408,FRANCO DA ROCHA,0
84433910,8443,160,0817800,01,RS,4313409,NOVO HAMBURGO,0
85176229,8517,160,0717700,04,RJ,3301702,DUQUE DE CAXIAS,0
87089413,8708,160,0817800,01,MG,3152501,POUSO ALEGRE,1
85176259,8517,160,0817700,04,SP,3413801,DIADEMA,1
90189010,9018,160,0817600,04,SP,3407605,BRAGANCA PAULISTA,0
87084090,8708,160,0817800,01,SP,3436505,PAULINIA,1
90183929,9018,160,1017801,04,RS,4314902,PORTO ALEGRE,0
87088000,8708,160,0817800,01,SP,3452403,SUMARE,0
87089482,8708,160,0817800,01,SP,3449805,SAO JOSE DO RIO PRETO,1
84433111,8443,160,0817800,01,SP,3452205,SOROCABA,0
85412120,8541,160,0817600,04,SP,3423107,ITAQUAQUECETUBA,0
29225099,2922,160,0817800,01,SP,3436505,PAULINIA,0
85171213,8517,160,0817600,04,SP,3447809,SANTO ANDRE,0
85177029,8517,160,0817800,01,SP,3450308,SAO PAULO,0
29337990,2933,160,0817600,04,SP,3420509,INDAIATUBA,0
85414121,8541,160,0927700,01,SP,3404008,ASSIS,0
87089413,8708,160,0817600,04,MG,3152501,POUSO ALEGRE,0
85176249,8517,160,0817800,01,SP,3452502,SUZANO,0
85414111,8541,160,0817700,04,MG,3137601,LAGOA SANTA,0
29419041,2941,160,0817600,04,SP,3424709,JAGUARIUNA,0
29224210,2922,160,0817800,01,RJ,3305554,SEROPEDICA,0
87088000,8708,160,0817800,01,SP,3405708,BARUERI,1
85419090,8541,160,0717600,01,RJ,3302403,MACAE,0
87082999,8708,160,0817600,04,SP,3424402,JACAREI,0
85411022,8541,160,0817700,04,SP,3456206,VALINHOS,1
85416010,8541,160,0817600,04,SP,3447304,SANTANA DE PARNAIBA,0
87088000,8708,160,0817600,04,SP,3421408,IRACEMAPOLIS,0
29151100,2915,160,0817800,01,SP,3420509,INDAIATUBA,0
29333919,2933,160,0817700,04,SP,3424105,ITUVERAVA,0
90189029,9018,160,0817800,01,SP,3447304,SANTANA DE PARNAIBA,1
90183929,9018,160,0817700,04,RS,4314407,PELOTAS,0
29152100,2915,160,0817700,04,SP,3413009,COTIA,1
90181980,9018,160,0817700,04,SP,3443402,RIBEIRAO PRETO,0
90181990,9018,160,0817600,04,SP,3449904,SAO JOSE DOS CAMPOS,0
85414300,8541,160,0717700,04,SP,3450308,SAO PAULO,0
29335915,2933,160,0817600,04,SP,3413405,CRUZEIRO,0
